"Var1","Var2","CSEdistance","lat1","long1","lat2","long2","Pop1_cluster","Pop2_cluster"
"01-AIN","02-GAN",0.242462730833383,3.3044,31.1191,3.2521,31.1231,"north","north"
"01-AIN","03-DUK",0.31694123368636,3.3044,31.1191,3.2671,31.1352,"north","north"
"02-GAN","03-DUK",0.307637655101009,3.2521,31.1231,3.2671,31.1352,"north","north"
"03-DUK","07-OSG",0.406488224845881,3.2671,31.1352,3.211,31.7253,"north","north"
"02-GAN","07-OSG",0.373238237420712,3.2521,31.1231,3.211,31.7253,"north","north"
"01-AIN","07-OSG",0.372658865260397,3.3044,31.1191,3.211,31.7253,"north","north"
"07-OSG","08-MY",0.341656510963682,3.211,31.7253,3.6828,31.727,"north","north"
"01-AIN","08-MY",0.358633805714776,3.3044,31.1191,3.6828,31.727,"north","north"
"02-GAN","08-MY",0.351622265831175,3.2521,31.1231,3.6828,31.727,"north","north"
"03-DUK","08-MY",0.412028684415075,3.2671,31.1352,3.6828,31.727,"north","north"
"01-AIN","09-ORB",0.381051371659541,3.3044,31.1191,3.6922,31.7799,"north","north"
"08-MY","09-ORB",0.377524424412935,3.6828,31.727,3.6922,31.7799,"north","north"
"02-GAN","09-ORB",0.369211191638553,3.2521,31.1231,3.6922,31.7799,"north","north"
"07-OSG","09-ORB",0.404856278912242,3.211,31.7253,3.6922,31.7799,"north","north"
"03-DUK","09-ORB",0.280523054149871,3.2671,31.1352,3.6922,31.7799,"north","north"
"01-AIN","10-PAG",0.29717401464014,3.3044,31.1191,3.3777,31.994,"north","north"
"03-DUK","10-PAG",0.382215637282777,3.2671,31.1352,3.3777,31.994,"north","north"
"07-OSG","10-PAG",0.30008463493628,3.211,31.7253,3.3777,31.994,"north","north"
"08-MY","10-PAG",0.318976742751112,3.6828,31.727,3.3777,31.994,"north","north"
"09-ORB","10-PAG",0.356029239982989,3.6922,31.7799,3.3777,31.994,"north","north"
"02-GAN","10-PAG",0.332002270381946,3.2521,31.1231,3.3777,31.994,"north","north"
"10-PAG","12-OLO",0.257624213191567,3.3777,31.994,3.4016,32.011,"north","north"
"07-OSG","12-OLO",0.345605170181135,3.211,31.7253,3.4016,32.011,"north","north"
"08-MY","12-OLO",0.344458108609744,3.6828,31.727,3.4016,32.011,"north","north"
"01-AIN","12-OLO",0.353336913866929,3.3044,31.1191,3.4016,32.011,"north","north"
"03-DUK","12-OLO",0.404716248918203,3.2671,31.1352,3.4016,32.011,"north","north"
"09-ORB","12-OLO",0.368741304056777,3.6922,31.7799,3.4016,32.011,"north","north"
"02-GAN","12-OLO",0.370420354853396,3.2521,31.1231,3.4016,32.011,"north","north"
"03-DUK","14-OKS",0.337088985362122,3.2671,31.1352,3.2599,32.2241,"north","north"
"07-OSG","14-OKS",0.298414976778428,3.211,31.7253,3.2599,32.2241,"north","north"
"01-AIN","14-OKS",0.306422943021159,3.3044,31.1191,3.2599,32.2241,"north","north"
"12-OLO","14-OKS",0.294864715323134,3.4016,32.011,3.2599,32.2241,"north","north"
"09-ORB","14-OKS",0.307120300782917,3.6922,31.7799,3.2599,32.2241,"north","north"
"08-MY","14-OKS",0.289665083861654,3.6828,31.727,3.2599,32.2241,"north","north"
"10-PAG","14-OKS",0.259895637177286,3.3777,31.994,3.2599,32.2241,"north","north"
"02-GAN","14-OKS",0.307055935648594,3.2521,31.1231,3.2599,32.2241,"north","north"
"01-AIN","15-NGO",0.32632794677623,3.3044,31.1191,3.6687,32.5914,"north","north"
"09-ORB","15-NGO",0.375373377359491,3.6922,31.7799,3.6687,32.5914,"north","north"
"03-DUK","15-NGO",0.385709620712522,3.2671,31.1352,3.6687,32.5914,"north","north"
"02-GAN","15-NGO",0.338550125512019,3.2521,31.1231,3.6687,32.5914,"north","north"
"07-OSG","15-NGO",0.330113624880888,3.211,31.7253,3.6687,32.5914,"north","north"
"08-MY","15-NGO",0.34696991757488,3.6828,31.727,3.6687,32.5914,"north","north"
"14-OKS","15-NGO",0.281696664137491,3.2599,32.2241,3.6687,32.5914,"north","north"
"12-OLO","15-NGO",0.341313391264444,3.4016,32.011,3.6687,32.5914,"north","north"
"10-PAG","15-NGO",0.313951523314187,3.3777,31.994,3.6687,32.5914,"north","north"
"07-OSG","17-LAG",0.408769877151367,3.211,31.7253,3.4407,32.8529,"north","north"
"08-MY","17-LAG",0.386288701157606,3.6828,31.727,3.4407,32.8529,"north","north"
"12-OLO","17-LAG",0.364846755864859,3.4016,32.011,3.4407,32.8529,"north","north"
"10-PAG","17-LAG",0.379905090650922,3.3777,31.994,3.4407,32.8529,"north","north"
"09-ORB","17-LAG",0.407670897986711,3.6922,31.7799,3.4407,32.8529,"north","north"
"01-AIN","17-LAG",0.367802694598673,3.3044,31.1191,3.4407,32.8529,"north","north"
"03-DUK","17-LAG",0.414612702402639,3.2671,31.1352,3.4407,32.8529,"north","north"
"14-OKS","17-LAG",0.324774674882211,3.2599,32.2241,3.4407,32.8529,"north","north"
"02-GAN","17-LAG",0.392954372042046,3.2521,31.1231,3.4407,32.8529,"north","north"
"15-NGO","17-LAG",0.342937599298569,3.6687,32.5914,3.4407,32.8529,"north","north"
"02-GAN","18-BOL",0.34559182040251,3.2521,31.1231,3.2934,32.7822,"north","north"
"01-AIN","18-BOL",0.331903165166176,3.3044,31.1191,3.2934,32.7822,"north","north"
"14-OKS","18-BOL",0.284458038248143,3.2599,32.2241,3.2934,32.7822,"north","north"
"17-LAG","18-BOL",0.294563132962278,3.4407,32.8529,3.2934,32.7822,"north","north"
"08-MY","18-BOL",0.328783074069509,3.6828,31.727,3.2934,32.7822,"north","north"
"09-ORB","18-BOL",0.376920879302492,3.6922,31.7799,3.2934,32.7822,"north","north"
"15-NGO","18-BOL",0.310653166563907,3.6687,32.5914,3.2934,32.7822,"north","north"
"10-PAG","18-BOL",0.313240587157894,3.3777,31.994,3.2934,32.7822,"north","north"
"07-OSG","18-BOL",0.352689970848783,3.211,31.7253,3.2934,32.7822,"north","north"
"03-DUK","18-BOL",0.387501337464085,3.2671,31.1352,3.2934,32.7822,"north","north"
"12-OLO","18-BOL",0.3357392666768,3.4016,32.011,3.2934,32.7822,"north","north"
"15-NGO","19-KTC",0.342702545372164,3.6687,32.5914,3.2823,32.8232,"north","north"
"02-GAN","19-KTC",0.362872186552206,3.2521,31.1231,3.2823,32.8232,"north","north"
"08-MY","19-KTC",0.357680544759438,3.6828,31.727,3.2823,32.8232,"north","north"
"10-PAG","19-KTC",0.345808230334534,3.3777,31.994,3.2823,32.8232,"north","north"
"12-OLO","19-KTC",0.348662049232035,3.4016,32.011,3.2823,32.8232,"north","north"
"07-OSG","19-KTC",0.326723043050714,3.211,31.7253,3.2823,32.8232,"north","north"
"03-DUK","19-KTC",0.398975207396527,3.2671,31.1352,3.2823,32.8232,"north","north"
"09-ORB","19-KTC",0.380264414345032,3.6922,31.7799,3.2823,32.8232,"north","north"
"18-BOL","19-KTC",0.245963915743283,3.2934,32.7822,3.2823,32.8232,"north","north"
"14-OKS","19-KTC",0.292131873143196,3.2599,32.2241,3.2823,32.8232,"north","north"
"01-AIN","19-KTC",0.355804201029173,3.3044,31.1191,3.2823,32.8232,"north","north"
"17-LAG","19-KTC",0.331738660030881,3.4407,32.8529,3.2823,32.8232,"north","north"
"18-BOL","20-TUM",0.202868123941381,3.2934,32.7822,3.2421,32.7608,"north","north"
"10-PAG","20-TUM",0.319833323162063,3.3777,31.994,3.2421,32.7608,"north","north"
"17-LAG","20-TUM",0.325378438416671,3.4407,32.8529,3.2421,32.7608,"north","north"
"19-KTC","20-TUM",0.216314245373541,3.2823,32.8232,3.2421,32.7608,"north","north"
"02-GAN","20-TUM",0.373888008864674,3.2521,31.1231,3.2421,32.7608,"north","north"
"01-AIN","20-TUM",0.353886565738835,3.3044,31.1191,3.2421,32.7608,"north","north"
"14-OKS","20-TUM",0.28906108701007,3.2599,32.2241,3.2421,32.7608,"north","north"
"08-MY","20-TUM",0.339067580870398,3.6828,31.727,3.2421,32.7608,"north","north"
"15-NGO","20-TUM",0.335620087693621,3.6687,32.5914,3.2421,32.7608,"north","north"
"03-DUK","20-TUM",0.401877684995697,3.2671,31.1352,3.2421,32.7608,"north","north"
"07-OSG","20-TUM",0.352287871789502,3.211,31.7253,3.2421,32.7608,"north","north"
"12-OLO","20-TUM",0.351949479216781,3.4016,32.011,3.2421,32.7608,"north","north"
"09-ORB","20-TUM",0.369146853998241,3.6922,31.7799,3.2421,32.7608,"north","north"
"01-AIN","21-KT",0.354416097114552,3.3044,31.1191,3.1709,32.8049,"north","north"
"20-TUM","21-KT",0.319422229389235,3.2421,32.7608,3.1709,32.8049,"north","north"
"09-ORB","21-KT",0.395647615528343,3.6922,31.7799,3.1709,32.8049,"north","north"
"17-LAG","21-KT",0.367880861445719,3.4407,32.8529,3.1709,32.8049,"north","north"
"15-NGO","21-KT",0.327455256423296,3.6687,32.5914,3.1709,32.8049,"north","north"
"07-OSG","21-KT",0.372858709129952,3.211,31.7253,3.1709,32.8049,"north","north"
"10-PAG","21-KT",0.364129725839899,3.3777,31.994,3.1709,32.8049,"north","north"
"19-KTC","21-KT",0.296829547496298,3.2823,32.8232,3.1709,32.8049,"north","north"
"12-OLO","21-KT",0.401902381707772,3.4016,32.011,3.1709,32.8049,"north","north"
"03-DUK","21-KT",0.415602243936727,3.2671,31.1352,3.1709,32.8049,"north","north"
"14-OKS","21-KT",0.339615544151842,3.2599,32.2241,3.1709,32.8049,"north","north"
"08-MY","21-KT",0.412068897441116,3.6828,31.727,3.1709,32.8049,"north","north"
"02-GAN","21-KT",0.395808719818457,3.2521,31.1231,3.1709,32.8049,"north","north"
"18-BOL","21-KT",0.336599187567423,3.2934,32.7822,3.1709,32.8049,"north","north"
"19-KTC","22-OMI",0.252309096464661,3.2823,32.8232,3.0113,32.7323,"north","north"
"08-MY","22-OMI",0.339537460860718,3.6828,31.727,3.0113,32.7323,"north","north"
"20-TUM","22-OMI",0.244907106036215,3.2421,32.7608,3.0113,32.7323,"north","north"
"18-BOL","22-OMI",0.245711289300492,3.2934,32.7822,3.0113,32.7323,"north","north"
"07-OSG","22-OMI",0.334575691120854,3.211,31.7253,3.0113,32.7323,"north","north"
"10-PAG","22-OMI",0.312911506570574,3.3777,31.994,3.0113,32.7323,"north","north"
"21-KT","22-OMI",0.338736172916464,3.1709,32.8049,3.0113,32.7323,"north","north"
"02-GAN","22-OMI",0.361963110601112,3.2521,31.1231,3.0113,32.7323,"north","north"
"15-NGO","22-OMI",0.345972451896803,3.6687,32.5914,3.0113,32.7323,"north","north"
"03-DUK","22-OMI",0.383830161722899,3.2671,31.1352,3.0113,32.7323,"north","north"
"17-LAG","22-OMI",0.34587029463013,3.4407,32.8529,3.0113,32.7323,"north","north"
"12-OLO","22-OMI",0.337057196782758,3.4016,32.011,3.0113,32.7323,"north","north"
"14-OKS","22-OMI",0.295828833871116,3.2599,32.2241,3.0113,32.7323,"north","north"
"01-AIN","22-OMI",0.354854173494662,3.3044,31.1191,3.0113,32.7323,"north","north"
"09-ORB","22-OMI",0.356886121521312,3.6922,31.7799,3.0113,32.7323,"north","north"
"20-TUM","24-KIL",0.278741896187244,3.2421,32.7608,2.7403,32.9502,"north","north"
"12-OLO","24-KIL",0.339950989435027,3.4016,32.011,2.7403,32.9502,"north","north"
"09-ORB","24-KIL",0.373427621142829,3.6922,31.7799,2.7403,32.9502,"north","north"
"08-MY","24-KIL",0.336808269329389,3.6828,31.727,2.7403,32.9502,"north","north"
"15-NGO","24-KIL",0.356772034139225,3.6687,32.5914,2.7403,32.9502,"north","north"
"10-PAG","24-KIL",0.324715597382016,3.3777,31.994,2.7403,32.9502,"north","north"
"03-DUK","24-KIL",0.388063660754379,3.2671,31.1352,2.7403,32.9502,"north","north"
"22-OMI","24-KIL",0.273302300989269,3.0113,32.7323,2.7403,32.9502,"north","north"
"01-AIN","24-KIL",0.363534799987028,3.3044,31.1191,2.7403,32.9502,"north","north"
"14-OKS","24-KIL",0.319573942744876,3.2599,32.2241,2.7403,32.9502,"north","north"
"21-KT","24-KIL",0.373270867622509,3.1709,32.8049,2.7403,32.9502,"north","north"
"07-OSG","24-KIL",0.341169906887629,3.211,31.7253,2.7403,32.9502,"north","north"
"17-LAG","24-KIL",0.36266926586719,3.4407,32.8529,2.7403,32.9502,"north","north"
"18-BOL","24-KIL",0.281946110267056,3.2934,32.7822,2.7403,32.9502,"north","north"
"02-GAN","24-KIL",0.378641879099117,3.2521,31.1231,2.7403,32.9502,"north","north"
"19-KTC","24-KIL",0.306952020250786,3.2823,32.8232,2.7403,32.9502,"north","north"
"01-AIN","25-CHU",0.375643524844116,3.3044,31.1191,2.6069,32.9379,"north","north"
"14-OKS","25-CHU",0.313356964881416,3.2599,32.2241,2.6069,32.9379,"north","north"
"17-LAG","25-CHU",0.372461087981736,3.4407,32.8529,2.6069,32.9379,"north","north"
