SampleID	SiteCode	Village	A03b	B05	C7b	CAG29	GpCAG133	D05	D101	Gmm8	GpB20b	GpC10	Pgp28	Watershed	Year	Sex	TrapNo	SiteInfectionRate	CollectionDate	TrapLat	TrapLong	VegType	YearSeason	SiteCode_YearSeason	StructureOrder	GenePopIndOrder	SiteLat	SiteLong	Cluster	SiteMajCluster
AIN_14_177	01-AIN	Aina	130130	207209	121121	157163	191194	109109	167173	122122	117127	161173	111111	Albert Nile	2014	M	23	0	6/25/14	3.30437	31.11903	Riverine	2014-S03	01-AIN_2014-S03	1	1	3.3044	31.1191	north	north
AIN_14_178	01-AIN	Aina	116142	207211	118133	163163	191191	109109	173173	130130	129143	158161	129131	Albert Nile	2014	F	23	0	6/25/14	3.30437	31.11903	Riverine	2014-S03	01-AIN_2014-S03	1	2	3.3044	31.1191	north	north
AIN_14_179	01-AIN	Aina	116130	207211	127133	157157	191200	109112	167167	122126	115115	164164	121129	Albert Nile	2014	M	23	0	6/25/14	3.30437	31.11903	Riverine	2014-S03	01-AIN_2014-S03	1	3	3.3044	31.1191	north	north
AIN_14_180	01-AIN	Aina	116128	209211	133145	163163	191194	109109	164167	122130	141151	161167	111125	Albert Nile	2014	F	23	0	6/25/14	3.30437	31.11903	Riverine	2014-S03	01-AIN_2014-S03	1	4	3.3044	31.1191	north	north
AIN_14_181	01-AIN	Aina	116130	207209	127142	157157	191194	106109	167167	126130	127143	164173	109109	Albert Nile	2014	F	23	0	6/25/14	3.30437	31.11903	Riverine	2014-S03	01-AIN_2014-S03	1	5	3.3044	31.1191	north	north
AIN_14_182	01-AIN	Aina	130130	207211	127133	157163	191194	97106	167173	126126	115115	158167	123125	Albert Nile	2014	M	23	0	6/25/14	3.30437	31.11903	Riverine	2014-S03	01-AIN_2014-S03	1	6	3.3044	31.1191	north	north
AIN_14_183	01-AIN	Aina	130130	209209	133136	157157	194194	109109	173173	126126	109143	158161	111123	Albert Nile	2014	F	23	0	6/25/14	3.30437	31.11903	Riverine	2014-S03	01-AIN_2014-S03	1	7	3.3044	31.1191	north	north
AIN_14_184	01-AIN	Aina	130130	207211	133142	157163	191203	109109	167173	126130	115127	170173	109129	Albert Nile	2014	F	23	0	6/25/14	3.30437	31.11903	Riverine	2014-S03	01-AIN_2014-S03	1	8	3.3044	31.1191	north	north
AIN_14_185	01-AIN	Aina	116130	209211	133142	157163	194203	97106	158167	122126	109149	158167	123123	Albert Nile	2014	F	23	0	6/25/14	3.30437	31.11903	Riverine	2014-S03	01-AIN_2014-S03	1	9	3.3044	31.1191	north	north
AIN_14_194	01-AIN	Aina	130134	209211	121133	157160	191194	106109	173173	122130	115127	161164	109129	Albert Nile	2014	M	24	0	6/25/14	3.305	31.11852	Riverine	2014-S03	01-AIN_2014-S03	1	10	3.3044	31.1191	north	north
AIN_14_195	01-AIN	Aina	120130	207209	121142	157157	200203	109109	164173	122130	115127	161167	115115	Albert Nile	2014	M	24	0	6/25/14	3.305	31.11852	Riverine	2014-S03	01-AIN_2014-S03	1	11	3.3044	31.1191	north	north
AIN_14_196	01-AIN	Aina	116124	209209	121121	157163	194200	106106	167173	122130	115117	161167	109111	Albert Nile	2014	M	24	0	6/25/14	3.305	31.11852	Riverine	2014-S03	01-AIN_2014-S03	1	12	3.3044	31.1191	north	north
AIN_14_198	01-AIN	Aina	130130	207209	121133	157157	191203	103106	167173	118126	115143	161167	0	Albert Nile	2014	M	24	0	6/25/14	3.305	31.11852	Riverine	2014-S03	01-AIN_2014-S03	1	13	3.3044	31.1191	north	north
AIN_14_200	01-AIN	Aina	120120	207209	121133	157157	191200	109109	173173	126130	143147	167173	111121	Albert Nile	2014	M	24	0	6/25/14	3.305	31.11852	Riverine	2014-S03	01-AIN_2014-S03	1	14	3.3044	31.1191	north	north
AIN_14_285	01-AIN	Aina	120130	209209	121133	157160	191200	106112	167167	122122	115143	161164	123125	Albert Nile	2014	F	21	0	6/25/14	3.30373	31.1201	Riverine	2014-S03	01-AIN_2014-S03	1	15	3.3044	31.1191	north	north
AIN_14_289	01-AIN	Aina	130130	207209	121142	157163	200200	97106	158173	130130	137151	173173	111111	Albert Nile	2014	F	22	0	6/25/14	3.30408	31.11979	Riverine	2014-S03	01-AIN_2014-S03	1	16	3.3044	31.1191	nogroup	north
AIN_14_321	01-AIN	Aina	132132	209211	118133	157160	200200	106112	167173	122122	109115	164167	111121	Albert Nile	2014	F	23	0	6/25/14	3.30437	31.11903	Riverine	2014-S03	01-AIN_2014-S03	1	17	3.3044	31.1191	north	north
AIN_14_347	01-AIN	Aina	130134	209211	121142	157157	200200	97109	167173	122122	127141	158167	109125	Albert Nile	2014	F	21	0	6/25/14	3.30373	31.1201	Riverine	2014-S03	01-AIN_2014-S03	1	18	3.3044	31.1191	north	north
AIN_14_364	01-AIN	Aina	130130	205207	130136	157160	194194	109109	164173	122130	141141	161167	109109	Albert Nile	2014	M	22	0	6/25/14	3.30408	31.11979	Riverine	2014-S03	01-AIN_2014-S03	1	19	3.3044	31.1191	north	north
GAN_14_085	02-GAN	Gangu	130134	207211	118124	157157	194200	109109	167167	122130	115115	158158	111121	Albert Nile	2014	F	1	0.0175	6/23/14	3.25163	31.12119	Riverine	2014-S03	02-GAN_2014-S03	2	20	3.2521	31.1231	north	north
GAN_14_101	02-GAN	Gangu	130136	207209	133133	157157	191194	109109	167167	126130	115127	158167	109121	Albert Nile	2014	M	12	0.0175	6/23/14	3.25321	31.12496	Riverine	2014-S03	02-GAN_2014-S03	2	21	3.2521	31.1231	north	north
GAN_14_112	02-GAN	Gangu	130130	211211	121133	157157	194203	106106	158167	122122	115115	164167	125125	Albert Nile	2014	F	8	0.0175	6/23/14	3.25087	31.12206	Riverine	2014-S03	02-GAN_2014-S03	2	22	3.2521	31.1231	north	north
GAN_14_136	02-GAN	Gangu	134134	207209	127133	157163	191191	97106	164173	122130	127127	161167	111127	Albert Nile	2014	F	9	0.0175	6/23/14	3.25238	31.12398	Riverine	2014-S03	02-GAN_2014-S03	2	23	3.2521	31.1231	nogroup	north
GAN_14_138	02-GAN	Gangu	116116	207211	133133	157157	191194	109109	158173	126126	141145	161161	123123	Albert Nile	2014	M	9	0.0175	6/23/14	3.25238	31.12398	Riverine	2014-S03	02-GAN_2014-S03	2	24	3.2521	31.1231	north	north
GAN_14_140	02-GAN	Gangu	130130	209209	127133	160163	200203	109109	173173	126126	115115	158161	123125	Albert Nile	2014	M	9	0.0175	6/23/14	3.25238	31.12398	Riverine	2014-S03	02-GAN_2014-S03	2	25	3.2521	31.1231	north	north
GAN_14_143	02-GAN	Gangu	130130	207211	121133	157157	200203	109109	158173	130130	127127	167167	109133	Albert Nile	2014	M	9	0.0175	6/23/14	3.25238	31.12398	Riverine	2014-S03	02-GAN_2014-S03	2	26	3.2521	31.1231	north	north
GAN_14_146	02-GAN	Gangu	130130	207209	130133	157163	191200	109109	164173	126126	127127	161161	109129	Albert Nile	2014	F	9	0.0175	6/23/14	3.25238	31.12398	Riverine	2014-S03	02-GAN_2014-S03	2	27	3.2521	31.1231	north	north
GAN_14_148	02-GAN	Gangu	130130	209211	127142	157163	191191	106106	158167	122126	129149	161164	109111	Albert Nile	2014	F	9	0.0175	6/23/14	3.25238	31.12398	Riverine	2014-S03	02-GAN_2014-S03	2	28	3.2521	31.1231	north	north
GAN_14_149	02-GAN	Gangu	116130	207209	121139	157157	191194	106106	167167	122122	109127	161164	125125	Albert Nile	2014	F	9	0.0175	6/23/14	3.25238	31.12398	Riverine	2014-S03	02-GAN_2014-S03	2	29	3.2521	31.1231	north	north
GAN_14_250	02-GAN	Gangu	130130	207207	142142	157160	191203	106106	167173	122122	115115	167167	111125	Albert Nile	2014	M	9	0.0175	6/23/14	3.25238	31.12398	Riverine	2014-S03	02-GAN_2014-S03	2	30	3.2521	31.1231	nogroup	north
GAN_14_252	02-GAN	Gangu	128132	209211	121142	160160	191200	109109	173173	122130	115115	161167	109111	Albert Nile	2014	F	9	0.0175	6/23/14	3.25238	31.12398	Riverine	2014-S03	02-GAN_2014-S03	2	31	3.2521	31.1231	north	north
GAN_14_262	02-GAN	Gangu	128132	209209	121133	157157	0	109109	173173	122126	109127	0	109109	Albert Nile	2014	F	8	0.0175	6/23/14	3.25087	31.12206	Riverine	2014-S03	02-GAN_2014-S03	2	32	3.2521	31.1231	north	north
GAN_14_263	02-GAN	Gangu	130142	207211	121121	160160	200203	106112	158173	122126	115123	161167	109123	Albert Nile	2014	M	8	0.0175	6/23/14	3.25087	31.12206	Riverine	2014-S03	02-GAN_2014-S03	2	33	3.2521	31.1231	north	north
GAN_14_264	02-GAN	Gangu	116122	207209	121133	157157	191203	106112	164173	126126	125129	164167	111111	Albert Nile	2014	F	8	0.0175	6/23/14	3.25087	31.12206	Riverine	2014-S03	02-GAN_2014-S03	2	34	3.2521	31.1231	north	north
GAN_14_272	02-GAN	Gangu	116130	209211	133133	157157	191191	109109	173173	126126	147151	164167	111133	Albert Nile	2014	F	10	0.0175	6/23/14	3.25271	31.1243	Riverine	2014-S03	02-GAN_2014-S03	2	35	3.2521	31.1231	north	north
GAN_14_279	02-GAN	Gangu	116158	207209	121121	157163	191203	106106	167167	126126	115115	158167	109111	Albert Nile	2014	F	7	0.0175	6/23/14	3.25222	31.12092	Riverine	2014-S03	02-GAN_2014-S03	2	36	3.2521	31.1231	north	north
GAN_14_281	02-GAN	Gangu	130130	209211	121121	157160	194200	106109	167167	122126	109137	158161	123123	Albert Nile	2014	M	6	0.0175	6/23/14	3.25253	31.12079	Riverine	2014-S03	02-GAN_2014-S03	2	37	3.2521	31.1231	north	north
GAN_14_428	02-GAN	Gangu	120128	209211	121127	157157	191194	109109	167173	122122	115115	164167	109111	Albert Nile	2014	F	6	0.0175	6/23/14	3.25253	31.12079	Riverine	2014-S03	02-GAN_2014-S03	2	38	3.2521	31.1231	north	north
GAN_14_438	02-GAN	Gangu	128162	207209	121136	157160	194203	106112	167173	122122	115115	164167	109109	Albert Nile	2014	F	11	0.0175	6/23/14	3.25291	31.12469	Riverine	2014-S03	02-GAN_2014-S03	2	39	3.2521	31.1231	north	north
DUK_14_001	03-DUK	Duku	130134	207211	133142	157157	194206	106112	167173	126130	143147	164170	111111	Albert Nile	2014	M	20	0.023	6/24/14	3.26727	31.13529	Riverine	2014-S03	03-DUK_2014-S03	3	40	3.2671	31.1352	north	north
DUK_14_002	03-DUK	Duku	116136	209209	127133	157163	194203	109109	173173	122130	127127	161161	123125	Albert Nile	2014	M	20	0.023	6/24/14	3.26727	31.13529	Riverine	2014-S03	03-DUK_2014-S03	3	41	3.2671	31.1352	north	north
DUK_14_003	03-DUK	Duku	122130	207209	133139	157157	194194	94106	167173	122126	121147	161167	111125	Albert Nile	2014	F	20	0.023	6/24/14	3.26727	31.13529	Riverine	2014-S03	03-DUK_2014-S03	3	42	3.2671	31.1352	north	north
DUK_14_004	03-DUK	Duku	120142	207207	133133	157160	194203	109112	173173	122126	115115	164173	111111	Albert Nile	2014	F	20	0.023	6/24/14	3.26727	31.13529	Riverine	2014-S03	03-DUK_2014-S03	3	43	3.2671	31.1352	north	north
DUK_14_005	03-DUK	Duku	134158	209211	133142	157163	203203	109109	167173	122130	109131	161167	109121	Albert Nile	2014	F	20	0.023	6/24/14	3.26727	31.13529	Riverine	2014-S03	03-DUK_2014-S03	3	44	3.2671	31.1352	north	north
DUK_14_006	03-DUK	Duku	116128	211211	133133	157157	197197	106106	164173	122126	109109	158158	109121	Albert Nile	2014	F	20	0.023	6/24/14	3.26727	31.13529	Riverine	2014-S03	03-DUK_2014-S03	3	45	3.2671	31.1352	north	north
DUK_14_007	03-DUK	Duku	116132	207211	127142	157163	194206	109109	158173	122126	115115	173173	109131	Albert Nile	2014	M	20	0.023	6/24/14	3.26727	31.13529	Riverine	2014-S03	03-DUK_2014-S03	3	46	3.2671	31.1352	north	north
