"Var1","Var2","CSEdistance","lat1","long1","lat2","long2","Pop1_cluster","Pop2_cluster","pix_dist","BIO1_mean","BIO2_mean","BIO3_mean","BIO4_mean","BIO5_mean","BIO6_mean","BIO7_mean","BIO8S_mean","BIO9S_mean","BIO10S_mean","BIO11S_mean","BIO12_mean","BIO13_mean","BIO14_mean","BIO15_mean","BIO16S_mean","BIO17S_mean","BIO18S_mean","BIO19S_mean","alt_mean","slope_mean","riv_3km_mean","samp_20km_mean","lakes_mean","BIO1_median","BIO2_median","BIO3_median","BIO4_median","BIO5_median","BIO6_median","BIO7_median","BIO8S_median","BIO9S_median","BIO10S_median","BIO11S_median","BIO12_median","BIO13_median","BIO14_median","BIO15_median","BIO16S_median","BIO17S_median","BIO18S_median","BIO19S_median","alt_median","slope_median","riv_3km_median","samp_20km_median","lakes_median","BIO1_mode","BIO2_mode","BIO3_mode","BIO4_mode","BIO5_mode","BIO6_mode","BIO7_mode","BIO8S_mode","BIO9S_mode","BIO10S_mode","BIO11S_mode","BIO12_mode","BIO13_mode","BIO14_mode","BIO15_mode","BIO16S_mode","BIO17S_mode","BIO18S_mode","BIO19S_mode","alt_mode","slope_mode","riv_3km_mode","samp_20km_mode","lakes_mode"
"01-AIN","02-GAN",0.242462730833383,3.3044,31.1191,3.2521,31.1231,"north","north",7,2971.14484514509,85.5952410016741,62.292539869036,1572.69623674665,3054.71428571429,2916.30953543527,138.40476335798,81.789682660784,163.119049072266,294.857147216797,167.40476335798,1640.49998256138,444.833334786551,7.7619047164917,91.1491263253348,2979.02378627232,2957.54764229911,2969.61907087054,2957.19049944196,908.727286202567,2.34504856382098,5.3719416068243e-12,1.73219650428935e-11,0,2970.88891601562,85.5833358764648,62.2546195983887,1572.39733886719,3054.5,2916.16674804688,138.5,80.2222213745117,163.66667175293,294,167.91667175293,1640.16662597656,446.833343505859,7.5,91.0297470092773,2978.83325195312,2957.25,2969.5,2957.08325195312,911.13720703125,2.35516977310181,5.49659449899931e-12,1.73534190489599e-11,0,2970.88891601562,85.5833358764648,62.337215423584,1572.59838867188,3054.5,2916.16674804688,138.66667175293,79.3333358764648,167,294,171.41667175293,1640.16662597656,446.833343505859,7.33333349227905,92.0778121948242,2978.72216796875,2957.16674804688,2969.5,2956.91674804688,911.13720703125,2.35516977310181,5.17939163779957e-12,1.71697933648574e-11,0
"01-AIN","03-DUK",0.31694123368636,3.3044,31.1191,3.2671,31.1352,"north","north",7,2971.48015485491,85.6746030535017,62.2689181736537,1574.02083914621,3055.19046456473,2916.57142857143,138.619049072266,80.3571428571429,167.440477643694,296.11905343192,171.488098144531,1650.73808942522,449.523808070592,7.54761913844517,91.984742300851,2979.376953125,2957.84524972098,2969.95235770089,2957.46425083705,901.84916469029,2.67151239940098,4.92849405879712e-12,1.73160243584412e-11,0,2971.34716796875,85.6944427490234,62.2735290527344,1573.98559570312,3055,2916.33325195312,138.66667175293,80.2777786254883,167.25,296.333343505859,171.41667175293,1650.33337402344,449.666656494141,7.5,92.0366973876953,2979.1943359375,2957.83325195312,2969.75,2957.33325195312,904.92236328125,2.72213172912598,5.01680034320495e-12,1.7359370885206e-11,0,2972.04174804688,85.6111145019531,62.2735290527344,1572.59838867188,3055,2916.33325195312,138.66667175293,79.3333358764648,167,294,171.41667175293,1640.16662597656,446.833343505859,7.5,92.0778121948242,2980,2957.16674804688,2969.75,2956.91674804688,911.13720703125,2.35516977310181,5.17939163779957e-12,1.71697933648574e-11,0
"02-GAN","03-DUK",0.307637655101009,3.2521,31.1231,3.2671,31.1352,"north","north",5,2971.98334960938,85.6388885498047,62.272908782959,1575.28615722656,3055.63334960937,2917.1,138.533334350586,82.766667175293,164.183334350586,296.350006103516,168.233334350586,1651,447.166662597656,7.99999990463257,91.0499374389648,2979.85,2958.43334960938,2970.41665039062,2958.06665039062,895.599853515625,2.46784420013428,4.96654618473147e-12,1.73595571945073e-11,0,2972.27783203125,85.6666641235352,62.2521591186523,1573.98559570312,3055.83325195312,2917.33325195312,138.66667175293,81.4444427490234,163.66667175293,296.833343505859,167.91667175293,1656.5,449.833343505859,7.83333349227905,91.1110992431641,2980.11108398438,2958.75,2970.75,2958.33325195312,892.012329101562,2.2342529296875,5.03729002954145e-12,1.73663097791099e-11,0,2972.27783203125,85.6666641235352,62.1661949157715,1580.04675292969,3056.16674804688,2917.33325195312,138.66667175293,80.0555572509766,161.25,291.083343505859,165.33332824707,1615.16662597656,438.5,7.83333349227905,91.424072265625,2980.13891601562,2958.75,2970.75,2958.41674804688,893.202758789062,2.08706641197205,5.15519441371404e-12,1.74063940344693e-11,0
"03-DUK","07-OSG",0.406488224845881,3.2671,31.1352,3.211,31.7253,"north","north",79,2982.73742830301,87.132735626607,62.2019493972199,1597.06932357595,3068.44092105914,2927.34809199466,141.092827132986,76.594233404232,146.246836022486,247.45147743708,147.215189390545,1469.77848101266,371.069619480568,7.77637131002885,85.6807923135878,2990.93565194818,2969.04218379153,2980.41772151899,2968.82702173161,732.890523789804,1.71337245763103,1.89857927093332e-12,7.62770426275925e-12,0,2984.70825195312,87.2777786254883,62.1786956787109,1603.11560058594,3070.5,2929.33325195312,141.33332824707,76.0555572509766,140.75,241.33332824707,142.75,1423.16662597656,362,7.83333349227905,84.5277328491211,2992.83325195312,2970.83325195312,2982.58325195312,2970.66674804688,696.584716796875,1.81033825874329,1.70622153558564e-12,6.40824849781896e-12,0,2986.125,87.3055572509766,61.9658851623535,1572.63293457031,3069.5,2931.83325195312,141.16667175293,93.6666641235352,178.66667175293,235.5,142.58332824707,1704.5,453,8.33333301544189,91.836181640625,2995.47216796875,2973.5,2985.91674804688,2973.16674804688,892.012329101562,3.16643333435059,4.51319233721326e-12,1.73607100917295e-11,0
"02-GAN","07-OSG",0.373238237420712,3.2521,31.1231,3.211,31.7253,"north","north",79,2982.81838100771,87.0738395980642,62.2044465270223,1598.45717186264,3068.42404136175,2927.42826283129,140.995780461951,77.2535162817074,148.342827809008,251.148733211469,149.444092859196,1488.00211382516,377.200420910799,7.81856541090374,85.9451217651367,2991.00737984573,2969.15083564082,2980.48312648339,2968.92300917227,731.267852396905,1.81559623042239,2.17907522040796e-12,7.89042808927889e-12,0,2985.4443359375,87.2222213745117,62.1880111694336,1604.70861816406,3071.16674804688,2929.83325195312,141.33332824707,76.9166641235352,143.91667175293,247.75,145.75,1458.66662597656,370.5,7.83333349227905,86.6355590820312,2993.66674804688,2971.58325195312,2983,2971.41674804688,690.57421875,1.9090576171875,1.67285098533893e-12,6.59490647855754e-12,0,2987.79174804688,88,62.0309791564941,1572.63293457031,3074,2933,142,64.6111145019531,163.66667175293,311.416656494141,131,1252,289.5,8.33333301544189,90.2869720458984,2984.8056640625,2968.41674804688,2984.16674804688,2974.08325195312,890.767028808594,2.1728720664978,4.88191041411734e-12,1.72938070114315e-11,0
"01-AIN","07-OSG",0.372658865260397,3.3044,31.1191,3.211,31.7253,"north","north",85,2982.08430606618,87.111111091165,62.1969378303079,1596.76730095358,3067.77450884651,2926.72155905331,141.052941355986,77.5767971712,149.088235383875,253.152940996955,150.132352761661,1494.33921616498,379.215685317096,7.73921569375431,86.077473449707,2990.2852912454,2968.32352366728,2979.81177332261,2968.11961454504,742.411919088925,1.57683124139028,2.11300258957951e-12,7.63719086950146e-12,0,2984.01391601562,87.2222213745117,62.1315383911133,1603.60632324219,3070.33325195312,2928.83325195312,141.5,78.1944427490234,147.5,257.666656494141,148.66667175293,1497,384.833343505859,7.83333349227905,86.3114395141602,2992.22216796875,2970.16674804688,2982,2970.08325195312,704.032104492188,1.60488033294678,1.93667087575178e-12,6.37989661100846e-12,0,2986.4306640625,88,61.9164085388184,1572.63293457031,3072.16674804688,2931,141.5,92,181.41667175293,196,122.083335876465,1804.5,289.5,6.66666650772095,92.0778121948242,2977,2972.25,2984.16674804688,2972.08325195312,911.13720703125,2.35516977310181,5.17939163779957e-12,1.71697933648574e-11,0
"07-OSG","08-MY",0.341656510963682,3.211,31.7253,3.6828,31.727,"north","north",57,2978.92958470395,88.0818723712051,62.6488348977608,1563.45224266721,3065.35087290981,2923.83627587034,141.5146208646,80.0233915897838,157.573099638286,256.923975894326,155.499999866151,1540.42104406524,375.175438596491,7.44736841268707,84.3727465177837,2987.1623021176,2964.92691200658,2976.53948225055,2964.85819712856,792.944588644463,2.64026317209528,1.14153385111019e-12,9.97659446222919e-12,0,2980.3056640625,88.0833358764648,62.6555137634277,1572.20092773438,3066.83325195312,2925.16674804688,141.83332824707,76.2777786254883,143.91667175293,223.83332824707,139.75,1418.5,330.833343505859,7.16666650772095,83.5776748657227,2988.58325195312,2966.33325195312,2977.58325195312,2966.33325195312,777.523071289062,1.8313467502594,9.39741990821363e-13,9.55911304972856e-12,0,2989.13891601562,88.3055572509766,63.0329666137695,1530.23352050781,3065.83325195312,2922.16674804688,140,75.9722213745117,211.08332824707,341.833343505859,122,1579.5,490.833343505859,6.83333349227905,85.0108642578125,2976.5556640625,2974.75,2975.16674804688,2974.75,934.170166015625,2.85585832595825,6.83840137294389e-13,1.22752424544514e-11,0
"01-AIN","08-MY",0.358633805714776,3.3044,31.1191,3.6828,31.727,"north","north",119,2974.07306985294,86.7574696901466,62.4568587872161,1574.05532247079,3059.19048302915,2919.34175994617,139.848738982898,85.6475256911847,171.021008659812,293.710783886308,172.439776508748,1679.57983808758,438.668066970441,7.6358543844784,89.1475131251231,2982.09709821429,2960.0308150604,2972.43977317489,2959.85435062697,859.709109522715,1.85542709937617,3.32639841791775e-12,7.88424956740598e-12,0,2972.25,86.8611145019531,62.4404106140137,1572.26306152344,3057.83325195312,2917.66674804688,140.16667175293,87,174.25,301.666656494141,174.83332824707,1696.16662597656,448.833343505859,8,89.4489669799805,2980.3056640625,2958.08325195312,2970.5,2958,888.962097167969,1.79008841514587,3.25543238199888e-12,7.2671139939029e-12,0,2969.36108398438,87.6111145019531,62.6326179504395,1566.05529785156,3066.66674804688,2914,138.33332824707,79.9444427490234,174.58332824707,236.91667175293,172.08332824707,1775.5,373.5,6.33333349227905,83.7541122436523,2977.41674804688,2955.25,2969.5,2965.91674804688,938.373107910156,2.18982934951782,9.87059284134062e-13,1.21048657208966e-11,0
"02-GAN","08-MY",0.351622265831175,3.2521,31.1231,3.6828,31.727,"north","north",125,2974.66643554688,86.7408891601562,62.4186145935059,1575.33556054688,3059.77600195313,2919.86401757813,139.912000366211,85.8111110839844,170.326666992188,294.209333496094,171.883334106445,1679.31733691406,439.075999755859,7.74400004196167,89.1443225097656,2982.6913203125,2960.65534179687,2973.00465625,2960.46867773437,850.870974609375,1.91149467515945,3.3577405690946e-12,8.29863131338038e-12,0,2972.73608398438,86.6666641235352,62.3751640319824,1576.78515625,3057.83325195312,2918,140.16667175293,87.1388854980469,171.66667175293,301.666656494141,172.66667175293,1696.16662597656,449.833343505859,8.16666698455811,89.1438751220703,2980.77783203125,2958.83325195312,2971.16674804688,2958.5,881.181091308594,1.91759443283081,3.22193183591168e-12,7.41868892706332e-12,0,2972.41674804688,86.0277786254883,63.0614852905273,1582.38806152344,3066.66674804688,2915,140.5,90.3055572509766,174.58332824707,314.916656494141,175.16667175293,1806.16662597656,373.5,8.83333301544189,83.7541122436523,2977.9443359375,2956.16674804688,2970.5,2955.91674804688,938.373107910156,2.18982934951782,9.87059284134062e-13,1.21048657208966e-11,0
"03-DUK","08-MY",0.412028684415075,3.2671,31.1352,3.6828,31.727,"north","north",121,2974.75561523438,86.7777780580127,62.4234364407122,1575.32644527215,3059.91460122353,2919.9559416968,139.958678064268,85.8994489937774,170.560606396888,294.142561983471,172.032369944675,1680.29890177073,438.837465396597,7.73415982821756,89.0878248608802,2982.78648792614,2960.72865888107,2973.09089900245,2960.54822079997,849.362685022275,1.89887641924472,3.30081018636679e-12,7.99910610158463e-12,0,2972.98608398438,86.7222213745117,62.3775177001953,1576.78515625,3058,2918.16674804688,140.16667175293,87.3055572509766,172.08332824707,302.083343505859,172.91667175293,1704.16662597656,449.833343505859,8.16666698455811,89.0495147705078,2980.97216796875,2959,2971.5,2958.83325195312,878.496459960938,1.90009117126465,3.19915708507645e-12,7.347440364458e-12,0,2972.41674804688,86.0277786254883,63.0614852905273,1582.38806152344,3066.66674804688,2915,140.5,90.3055572509766,174.58332824707,314.916656494141,175.16667175293,1806.16662597656,373.5,8.83333301544189,83.7541122436523,2977.9443359375,2956.16674804688,2970.5,2955.91674804688,938.373107910156,2.18982934951782,9.87059284134062e-13,1.21048657208966e-11,0
