"Population","Allelic_Richness","N","MLG","eMLG","SE","H","G","lambda","E.5","Hexp","Ia","rbarD","File","FIS","Ho","He"
"01-AIN",4.0929970353415,19,19,15,1.33280037492501e-07,2.94443897916644,19,0.947368421052632,1,0.720880826143984,0.0416165911682242,0.00420028024858237,"Gff.genind_rf",0.038,0.693,0.721
"02-GAN",3.81398416904608,20,20,15,1.50494351064594e-07,2.99573227355399,20,0.95,1,0.694887047518626,-0.0291172919315708,-0.00295561430354986,"Gff.genind_rf",0.188,0.571,0.698
"03-DUK",3.87573974676659,25,25,15,4.1829552792365e-07,3.2188758248682,25,0.96,1,0.686676535217569,0.018290805281644,0.00184705847999043,"Gff.genind_rf",0.157,0.574,0.688
"07-OSG",3.84671257679359,20,20,15,1.50494351064594e-07,2.99573227355399,20,0.95,1,0.685327948485843,-0.284413206544207,-0.0285812566847366,"Gff.genind_rf",0.137,0.585,0.689
"08-MY",3.6047753920999,15,15,15,0,2.70805020110221,15,0.933333333333333,1,0.638453500522466,0.00679137860918866,0.000699541323127281,"Gff.genind_rf",0.082,0.576,0.641
"09-ORB",3.6753173620728,20,20,15,1.50494351064594e-07,2.99573227355399,20,0.95,1,0.645883443251864,-0.0621580959165551,-0.00637552819968753,"Gff.genind_rf",0.195,0.53,0.649
"10-PAG",3.59227063317541,20,20,15,1.50494351064594e-07,2.99573227355399,20,0.95,1,0.648951048951049,0.0027668233767888,0.000282403973435422,"Gff.genind_rf",0.157,0.55,0.65
"12-OLO",3.43126028486054,24,24,15,4.62656459100843e-07,3.17805383034795,24,0.958333333333333,1,0.607797914389034,0.0127425680502731,0.00128227086519969,"Gff.genind_rf",0.036,0.588,0.608
"14-OKS",3.66098470107711,26,26,15,2.45756246186355e-07,3.25809653802148,26,0.961538461538462,0.999999999999999,0.62172024054377,-0.0876817074195426,-0.00888649103573072,"Gff.genind_rf",0.074,0.567,0.626
"15-NGO",3.64711517265017,25,25,15,4.1829552792365e-07,3.2188758248682,25,0.96,1,0.645291648574323,-0.0657584196001568,-0.00664759192714296,"Gff.genind_rf",0.037,0.624,0.646
"17-LAG",3.30213042607255,17,17,15,0,2.83321334405622,17,0.941176470588235,1,0.569933638611403,0.658758970029549,0.0679723412388145,"Gff.genind_rf",0.142,0.488,0.573
"18-BOL",3.5504097033014,25,25,15,4.1829552792365e-07,3.2188758248682,25,0.96,1,0.614229924077948,0.0618519595903819,0.00624841093151716,"Gff.genind_rf",0.048,0.584,0.616
"19-KTC",3.61744563094624,20,20,15,1.50494351064594e-07,2.99573227355399,20,0.95,1,0.634401018611545,0.170825520150011,0.0172873244902094,"Gff.genind_rf",0.075,0.573,0.636
"20-TUM",3.50759892626812,20,20,15,1.50494351064594e-07,2.99573227355399,20,0.95,1,0.603310984889932,0.122202089106798,0.0123856772347471,"Gff.genind_rf",0.043,0.561,0.603
"21-KT",3.5542252101619,17,17,15,0,2.83321334405622,17,0.941176470588235,1,0.632806842455454,0.0752911612622613,0.00774353098333197,"Gff.genind_rf",0.127,0.556,0.637
"22-OMI",3.77687846762328,15,15,15,0,2.70805020110221,15,0.933333333333333,1,0.631908576736163,0.314726417782844,0.0320724946428136,"Gff.genind_rf",0.155,0.56,0.635
"24-KIL",3.6263829795301,21,21,15,0,3.04452243772342,21,0.952380952380952,1,0.641854080878471,0.0928429238117703,0.00936917314457599,"Gff.genind_rf",0.059,0.599,0.643
"25-CHU",3.4546586585299,25,25,15,4.1829552792365e-07,3.2188758248682,25,0.96,1,0.599145778233924,0.0959677793959723,0.00978150363957603,"Gff.genind_rf",0.004,0.592,0.6
"26-OG",3.56508454482442,37,37,15,9.12749340004537e-07,3.61091791264422,37,0.972972972972973,1,0.620634714836914,-0.110778500689078,-0.0111377650412804,"Gff.genind_rf",0.018,0.62,0.619
"27-OCA",3.76793428043321,20,20,15,1.50494351064594e-07,2.99573227355399,20,0.95,1,0.666025952656969,-0.088671147979251,-0.00909108719302422,"Gff.genind_rf",0.012,0.643,0.667
"28-AKA",3.54203898651864,26,26,15,2.45756246186355e-07,3.25809653802148,26,0.961538461538462,0.999999999999999,0.618058412176059,0.0654236132806947,0.00663076586706679,"Gff.genind_rf",-0.007,0.618,0.616
"30-OLE",3.41396601456634,24,24,15,4.62656459100843e-07,3.17805383034795,24,0.958333333333333,1,0.597462366495669,0.11002348403552,0.0112558835180418,"Gff.genind_rf",0.031,0.577,0.599
"31-ACA",3.53632588531881,25,25,15,4.1829552792365e-07,3.2188758248682,25,0.96,1,0.606279819471309,0.204039654349788,0.0207819183892296,"Gff.genind_rf",0.036,0.571,0.605
"32-APU",3.36220147947248,29,29,15,9.37708182487027e-07,3.36729582998647,29,0.96551724137931,1,0.600714275000696,-0.0639135909921764,-0.0064798637669569,"Gff.genind_rf",0.065,0.555,0.6
"33-AP",3.41308647311944,15,15,15,0,2.70805020110221,15,0.933333333333333,1,0.605875197599336,0.344038061254832,0.0352989159957471,"Gff.genind_rf",0.085,0.556,0.608
"36-UGT",3.31129190636505,50,50,14.9999999999998,0,3.91202300542815,50,0.98,1,0.581721080263501,-0.0058117916394782,-0.000599986858550008,"Gff.genind_rf",0.112,0.521,0.583
"37-OT",3.19598778263214,40,40,15.0000000000001,1.80396389370222e-06,3.68887945411394,40,0.975,1,0.570795458856448,0.0646181399359158,0.00654064769786056,"Gff.genind_rf",0.058,0.535,0.572
"38-OCU",3.12053344128203,25,25,15,4.1829552792365e-07,3.2188758248682,25,0.96,1,0.567940630797774,-0.0567820348478387,-0.00580406275381375,"Gff.genind_rf",-0.002,0.553,0.568
"40-KAG",3.18738569407506,20,20,15,1.50494351064594e-07,2.99573227355399,20,0.95,1,0.570266954477481,0.294709961383547,0.0298300586748128,"Gff.genind_rf",0.204,0.481,0.575
"43-OS",3.06236340602209,32,32,15,0,3.46573590279973,32,0.96875,1,0.540083882642866,0.0132048207298159,0.00134632033664195,"Gff.genind_rf",0.066,0.508,0.54
