"site","rsq_train","rsq_test","rmse","mae","cor_train","cor_test","IncMSE_BIO1_mean","IncMSE_BIO2_mean","IncMSE_BIO3_mean","IncMSE_BIO4_mean","IncMSE_BIO5_mean","IncMSE_BIO6_mean","IncMSE_BIO7_mean","IncMSE_BIO8S_mean","IncMSE_BIO9S_mean","IncMSE_BIO10S_mean","IncMSE_BIO11S_mean","IncMSE_BIO12_mean","IncMSE_BIO13_mean","IncMSE_BIO14_mean","IncMSE_BIO15_mean","IncMSE_BIO16S_mean","IncMSE_BIO17S_mean","IncMSE_BIO18S_mean","IncMSE_BIO19S_mean","IncMSE_slope_mean","IncMSE_alt_mean","IncMSE_lakes_mean","IncMSE_riv_3km_mean","NodePurity_BIO1_mean","NodePurity_BIO2_mean","NodePurity_BIO3_mean","NodePurity_BIO4_mean","NodePurity_BIO5_mean","NodePurity_BIO6_mean","NodePurity_BIO7_mean","NodePurity_BIO8S_mean","NodePurity_BIO9S_mean","NodePurity_BIO10S_mean","NodePurity_BIO11S_mean","NodePurity_BIO12_mean","NodePurity_BIO13_mean","NodePurity_BIO14_mean","NodePurity_BIO15_mean","NodePurity_BIO16S_mean","NodePurity_BIO17S_mean","NodePurity_BIO18S_mean","NodePurity_BIO19S_mean","NodePurity_slope_mean","NodePurity_alt_mean","NodePurity_lakes_mean","NodePurity_riv_3km_mean"
"01-AIN",0.928888358110301,0.377279170710859,0.0319727040992232,0.0261782679613003,0.97435883297528,0.773892137103745,12.3024252704395,18.6953661043085,29.7148439851436,17.6241243092215,19.2631950176515,15.3918313457502,17.4743841685247,14.4085244158274,20.1404152039643,23.0419335877663,19.2547172994776,17.7721741719931,27.130547434559,17.7506303181579,18.425945489533,18.2274745211698,16.3284778757304,12.5641773737499,17.0469918594193,22.2509576544523,14.4269022713293,17.0731929188861,28.6357764980142,0.109709776725618,0.192929894489836,0.401595764651152,0.13716686014305,0.133345847785287,0.147396015699256,0.129095843725086,0.118373319870648,0.149889116487769,0.117452743436483,0.12637499647631,0.128744165104099,0.221187832874273,0.159465491188725,0.143978023738902,0.146580641928394,0.074125333447983,0.0737083020576742,0.0691352687975623,0.13978478353933,0.108008463188857,0.107336685358718,0.137242605603023
"02-GAN",0.928156259702903,0.658576028515911,0.0230174436925534,0.0173676576580229,0.973984270521189,0.855291089501909,11.7990348524847,20.1037724997707,33.4683022055059,18.3298697672618,17.1193582500637,16.69969773701,17.5865212995345,13.9529425118444,20.6014913196681,22.9332802194145,18.1591154627339,18.798712134758,28.4953724459186,19.5537229676849,18.8216636920859,18.6234555332775,15.6465881506084,10.7538584478488,12.0922932007943,22.1343128954607,15.2220054622927,18.6982924317088,28.3505193246343,0.11265619780905,0.196421564139593,0.423692536389652,0.134667764636602,0.120835991466419,0.164343188329465,0.133526223637084,0.122389356674897,0.148822888810394,0.111262657787166,0.115849749084994,0.121660133981381,0.209121274910909,0.162017491528121,0.144606368097851,0.152381652141674,0.0750290473804641,0.0751969731792286,0.0683251353579403,0.135011868497817,0.111455087460267,0.112052949496353,0.141013425728897
"03-DUK",0.930115304586541,0.473418258204463,0.0329748229182312,0.0248213373257823,0.974674024822104,0.779766258345798,13.2577817805695,19.7499308231341,28.5271827405198,14.3748346334002,14.8293508455733,15.864289702483,17.9644015170967,12.2714639602293,19.4276436359436,24.3338279321327,21.2632716985246,19.017658313937,27.5684262002093,20.7091979572984,19.1015573636744,14.2933817721948,14.5744582482794,10.4933287337056,14.919135647194,22.905085292077,18.1746140021414,12.6656019031132,29.9330648492291,0.114907775095012,0.188911806011368,0.422299746768499,0.136476696407619,0.134441967021287,0.15483804293583,0.138765187047672,0.123274484073242,0.154659010382175,0.111796165980559,0.115654053138441,0.121601644006685,0.187704364731785,0.18603928011461,0.150629836807111,0.144784182899041,0.0768478664981356,0.0734791585199578,0.0674835880856774,0.136125165584737,0.102290573746291,0.107026337797434,0.147144076844314
"07-OSG",0.929434522048135,0.127809116870513,0.039769039318841,0.0298027189879192,0.974401799962227,0.656631722272521,14.2662380903642,18.04148161406,27.8344418469812,17.0166311559414,17.5225186499064,16.4156398014309,18.0283543682792,13.9238395532782,20.8090684785845,22.7510475972709,18.6881632384364,19.6245276631585,28.0276095022941,20.969449347105,19.420227190418,16.410073797033,15.5036889309143,13.4870088016424,16.1243673604608,22.7024391562494,17.224723325082,14.0589292847695,29.3098262910799,0.116746390384689,0.192015201742109,0.405676604268878,0.133749510590629,0.137499480576268,0.161358967004909,0.140144458381108,0.121027932749822,0.159872696889009,0.11888532684311,0.117670919448788,0.126560264771392,0.180797694493727,0.177346109389448,0.149072700336992,0.164068418596105,0.0770859453875617,0.0786097815855621,0.0710495257345546,0.138911266209866,0.106158774328739,0.0983170326861498,0.138540904815087
"08-MY",0.928967934717686,0.29207717329673,0.0409317555741716,0.0338472402476793,0.974025548038984,0.693948458226797,13.0724621064873,18.0065983438124,29.4783218940485,16.9976905368819,13.6303430318181,16.6816488929937,18.2750486533593,10.8169106378033,21.6947907732903,23.1747199437607,20.8538094422396,19.4062248479831,28.3165674497234,18.3172785869138,18.817835410704,18.6560893663869,14.4168184720305,12.4454296119408,15.0831373117536,21.7338954398402,16.2673170482464,16.4939628273427,30.559087986744,0.117794685237234,0.189848249968599,0.411233593923064,0.132274140464846,0.130899709966006,0.154076605181122,0.142452273531582,0.116212004514435,0.15874578855787,0.113505206459746,0.120937953584639,0.11635438151976,0.193550078026647,0.172306110166083,0.139167370860887,0.161285487058596,0.0704803407928944,0.0724493780533298,0.069183763050314,0.138381445809817,0.106894664997157,0.108136486206539,0.141573290798736
"09-ORB",0.929789199995041,0.23154665248547,0.0369606138718961,0.0271589315940781,0.974372535146913,0.647795167730653,12.7604692849551,19.6767443921869,28.8918597424841,16.8401269906261,14.8259717186296,16.2170490890591,18.8092054344669,15.4692063387879,20.3332110341921,22.5344113724551,18.4464988794834,18.7057348216146,26.5598130302392,19.5906973506918,18.2583518071753,14.8976471484549,13.9877956005707,11.5362166007755,13.9905418409889,21.7316125341559,15.0393092059666,13.6773168613311,27.8405558290085,0.110885548993821,0.210293877100624,0.41734518314057,0.137584401062953,0.133701026984225,0.160092807584513,0.144236359785601,0.121219095833141,0.15301617459465,0.118192594955454,0.123676434656713,0.111035466266972,0.193657822006763,0.1698730718575,0.149684145530551,0.154436379375839,0.0742384286390721,0.0732200619525751,0.0676117872731484,0.135253181455788,0.105742557151592,0.111181245063734,0.135727030163924
"10-PAG",0.929123436643341,0.400485094441822,0.0259838665796335,0.021478356301788,0.974115521433747,0.643835322567263,13.6888466476713,17.8499289354265,28.7433432897035,20.6332663052717,16.2349754873082,16.0670724412328,17.5585434200781,12.6837154208201,19.8269398344997,21.1285505579413,18.7552609545745,18.6516923528777,27.3982859355234,19.04035743538,20.2565838436543,15.1489156708009,15.6952608361971,11.5773807219257,13.9744547940162,22.5002313528926,15.9663908959107,16.9508919646647,27.9054948392518,0.106535236913094,0.193042654530023,0.42382990236825,0.137329439167492,0.146739031673511,0.154018363178343,0.140017892796652,0.124219905020887,0.148184407068282,0.116623540075745,0.12363133803974,0.125202602651211,0.205908674853784,0.180539797996782,0.146003750249471,0.151203310822827,0.0766162342735549,0.0723459033807105,0.0720357927611368,0.137696036043756,0.105100539145058,0.109603698539944,0.139139374066455
"12-OLO",0.92848978886799,0.545340324992893,0.0230138568784617,0.0181052445896404,0.973987352185583,0.869306713403756,12.9429831639527,17.5125900014971,30.7356983520943,16.6417148813659,14.6486326351485,15.411376832983,17.1988522497801,11.9396311434911,18.4020735360717,24.0055645434516,20.0637096488022,18.3558731140138,28.0144071124054,22.4315437508033,19.9662898096449,15.8388609899517,14.2860444146265,10.8056485367034,16.4614599319761,20.7353369926255,16.9036464263329,13.4709911654315,28.6117086049563,0.120817811096625,0.187520920641099,0.43948842133003,0.134785095827338,0.140154212642419,0.161277228187757,0.149431960092592,0.110662995663795,0.144321153017229,0.116635472576801,0.122198584412155,0.130381680581222,0.190656095932129,0.176524259416634,0.14169669117541,0.142250975044959,0.0732611732073414,0.0803942653335577,0.0707767689463737,0.14172221563053,0.109164720313425,0.1101607857163,0.140685057105393
"14-OKS",0.929519606278145,-0.430164404147725,0.0318840073452969,0.0268567737921374,0.974228229382297,0.53752172093991,12.631096289198,22.5826409325431,28.2655074673412,17.246738592863,18.0241160858731,16.3656854683187,16.4782744548551,11.3408196948814,22.2800300109174,22.4493822447975,18.9186112876385,20.0180785522129,29.2730755623449,18.9558441099491,19.1734816699918,16.5832183583256,15.9034014430323,12.4073056635256,16.6826534919817,21.0543192673391,16.7969974473962,15.074743636198,27.8598251837,0.109403424507472,0.192580922404913,0.416194724017992,0.134947170271883,0.132398682146078,0.153603503981805,0.144859206527305,0.117870277006323,0.149178269989605,0.114315707797647,0.123803469873269,0.126781345449224,0.223889037454783,0.165092698647655,0.138200889496881,0.154299670858251,0.0726296983060012,0.0767607347991626,0.069354873108947,0.136217007152144,0.105854927536414,0.108460660873311,0.137865939448982
"15-NGO",0.930969573940964,-0.0893052287579492,0.0395091170248371,0.0313784877910589,0.974608302375278,0.342881221446532,13.5458772799044,20.9384798471138,27.6023652851054,17.5938575829478,15.6057761727032,17.4621299138436,18.8079065692307,12.4508313134227,18.9500140732976,22.9251320908763,19.1173205111156,19.0503350070206,29.674044815525,19.2297998713694,18.800676905631,16.9829289385507,15.3668357325555,12.0949505522476,17.9011044520269,21.8908379174346,16.6101811090297,13.6950130349559,28.3263179513795,0.109787784911254,0.208651773252374,0.413528156265292,0.137685845145954,0.127898472331693,0.165702487792227,0.133235152920379,0.126367546167655,0.138900707733441,0.116117615036831,0.113105453454246,0.124732287345901,0.212546721177565,0.168333895550467,0.152982109648891,0.154376970825974,0.0731743330756508,0.0769657290540905,0.0691554311361122,0.13940117306887,0.106089203202687,0.115275168680728,0.14427728518145
