"site","rsq_train","rsq_test","rmse","mae","cor_train","cor_test","IncMSE_BIO1_mean","IncMSE_BIO2_mean","IncMSE_BIO3_mean","IncMSE_BIO4_mean","IncMSE_BIO5_mean","IncMSE_BIO6_mean","IncMSE_BIO7_mean","IncMSE_BIO8S_mean","IncMSE_BIO9S_mean","IncMSE_BIO10S_mean","IncMSE_BIO11S_mean","IncMSE_BIO12_mean","IncMSE_BIO13_mean","IncMSE_BIO14_mean","IncMSE_BIO15_mean","IncMSE_BIO16S_mean","IncMSE_BIO17S_mean","IncMSE_BIO18S_mean","IncMSE_BIO19S_mean","IncMSE_slope_mean","IncMSE_alt_mean","IncMSE_lakes_mean","IncMSE_riv_3km_mean","IncMSE_samp_20km_mean","IncMSE_pix_dist","NodePurity_BIO1_mean","NodePurity_BIO2_mean","NodePurity_BIO3_mean","NodePurity_BIO4_mean","NodePurity_BIO5_mean","NodePurity_BIO6_mean","NodePurity_BIO7_mean","NodePurity_BIO8S_mean","NodePurity_BIO9S_mean","NodePurity_BIO10S_mean","NodePurity_BIO11S_mean","NodePurity_BIO12_mean","NodePurity_BIO13_mean","NodePurity_BIO14_mean","NodePurity_BIO15_mean","NodePurity_BIO16S_mean","NodePurity_BIO17S_mean","NodePurity_BIO18S_mean","NodePurity_BIO19S_mean","NodePurity_slope_mean","NodePurity_alt_mean","NodePurity_lakes_mean","NodePurity_riv_3km_mean","NodePurity_samp_20km_mean","NodePurity_pix_dist"
"01-AIN",0.975256823446124,0.816960946929917,0.027594234812371,0.0216694317821349,0.989189641264979,0.929951571480921,11.8832615660423,14.0633315455046,16.9734912842455,19.3409721715482,11.2796571535545,16.5682280900957,12.3595788574463,13.4718483183073,16.5956263269005,17.2506499937479,18.4277371272265,13.4432392037996,19.8611442144013,14.9804911549186,15.4304969148215,16.9214295939226,10.3741158304096,11.7094351223713,11.4395271777874,17.2645907613995,17.9975347501443,11.5948490882208,14.1276122461294,25.1280402233438,62.0699420016638,0.109622633862966,0.151708951933169,0.498090951116503,0.157643669717472,0.115325970445332,0.279353908937777,0.147544947452706,0.124437634977059,0.159682762595238,0.100434283023337,0.179811305091246,0.121639837165584,0.160889041582024,0.301164976419814,0.327840808651684,0.113173232005131,0.12025662640023,0.0952822346904286,0.111404192656966,0.101414340074617,0.115484162418762,0.188631787784501,0.15427769887353,1.33635767769476,3.35156503498765
"02-GAN",0.975366111720873,0.867859991965884,0.0222294258777454,0.0168327791560554,0.989192672184085,0.948132863973408,12.6149736509306,13.3583170603895,16.5154547537091,15.3374827289081,9.70261816855539,15.4516608847413,16.8894379949848,14.8424602482296,17.1018079834175,16.5063537376935,20.4217422789226,13.8334117642753,18.2770710400151,17.3582522487821,14.8941660002917,13.6683525776677,11.2868684822125,9.65087797606807,10.285139771125,14.9368171561181,15.2571202522806,11.7868278085411,14.7815479306116,24.6498377195066,65.3181536630725,0.105866252481713,0.152835457344423,0.508346931481111,0.159282638280544,0.129928410180305,0.25199206880918,0.152703392948706,0.13022824071288,0.163542298489759,0.114335937049455,0.196611098808387,0.114048950687652,0.166799639145786,0.311534087400782,0.350516729464295,0.121267358659774,0.125917000625008,0.099575387329041,0.108577972937644,0.0990022572890718,0.116909595454209,0.183202615256277,0.161932412765386,1.3351535202224,3.27686987424841
"03-DUK",0.975671800954683,0.605764164733584,0.0340200793912292,0.0268210634165604,0.989364602893515,0.875921814348548,13.556468363697,12.6626158751408,17.0029034882631,19.7545910779738,17.5767454576258,14.2744182844561,13.0845010017158,18.6355159882401,19.0555041291053,17.2530891405217,19.4645114213937,12.852379431762,18.4428989180075,15.8351170821984,14.898032138657,13.7473848247956,11.4411436668058,9.22161534108924,10.6632396772517,17.5917463021475,15.7505783590464,11.4040310713026,14.8468821255108,24.8781901917554,60.7043106236345,0.101974191876914,0.167600017514883,0.516168013378162,0.168224765560724,0.113902600807323,0.273777793284978,0.153592399771129,0.11800487733516,0.161042126570387,0.110043204946251,0.179616401682343,0.119025867296777,0.15817127654237,0.336947225294361,0.32401369286839,0.126076235308588,0.127429981207772,0.0918727503167218,0.110937997783917,0.102704105139638,0.118551972901928,0.195502623090776,0.157238646703523,1.2730423585178,3.36998646732497
"07-OSG",0.975841388328647,0.671528639548099,0.0356914799763099,0.0290146444616457,0.989352587571157,0.823554225696094,11.8895085782017,11.6189374176397,17.6112406656682,19.3713190794984,16.3417880910637,15.4308843550635,16.6653217001127,16.4270422689693,16.4909142952071,17.7471982754118,20.8576810185176,13.5067607944512,17.1220344347904,14.9520044825299,15.5920775065839,13.1798755701392,10.9092824928742,12.8108639144493,12.1532777436658,15.6001956124372,18.2571784330271,12.4239091361063,16.2949714729735,26.289090725247,64.2944662172623,0.11418236628755,0.147632624100377,0.488089251896719,0.151564665087718,0.141342953084652,0.270675974535598,0.148431970934215,0.135190000362953,0.167491130631601,0.109063717437439,0.173464531160034,0.116329268907994,0.166157765987056,0.289188133960467,0.313757256116143,0.116041034709191,0.137951900946237,0.0995396451984239,0.111979565855881,0.0993657626790984,0.129649358548124,0.225484349245556,0.188050677633404,1.34779728110862,3.2641931831496
"08-MY",0.975420232578992,0.692557800078804,0.033419642900253,0.027049864620626,0.989206391189603,0.844994077593702,14.3180464451171,11.3261166521534,16.5051316024222,15.8203137779137,15.6836695651553,16.9446115358147,16.8567645966825,16.0257100692799,15.5947593207571,14.8897676347345,20.6257335192488,16.2318625318095,17.540598923631,17.297941744343,15.4339411986268,14.6643213058994,11.9787835750051,10.203101508943,10.6694666854536,18.1900366450077,17.8667557535233,11.8358377934735,15.4803540262376,25.0673567616074,65.0439399728771,0.105882754718715,0.149560668681801,0.498782779748506,0.155881153690568,0.133853934699814,0.281841349230322,0.153886363140053,0.125206669272484,0.176461799968044,0.10737708292244,0.163481363093947,0.114052682379524,0.15518151168546,0.277803081513812,0.329670908865093,0.1110675628696,0.126748526317813,0.0972358500345744,0.119558938608382,0.099468516777305,0.118519945421118,0.170436055886388,0.174121892771734,1.34769544745641,3.34327149795493
"09-ORB",0.975690237627761,0.576411034389785,0.0364306207553446,0.0315962489553761,0.989393629264425,0.881351349085136,15.9364610341985,14.1333747695217,16.7321181870243,17.7641041368425,16.5765276708654,15.454329277645,16.6464123346686,14.7636047953776,16.4158684441185,17.1433925866451,20.8837634714593,15.8779652680185,17.7921602234826,14.2777680331493,16.2119235776641,16.4697021659913,11.316556824991,10.3601624007665,10.1738136181838,16.2765338646531,17.7589886743972,11.8203111413206,16.616516613272,25.8411386924566,67.4285739596269,0.111897073648089,0.162604994081867,0.50282904780776,0.151381714178585,0.128221884653826,0.295388174190025,0.153340572887562,0.135006262597853,0.179395904918275,0.0989407121361477,0.169195729347757,0.108061472619896,0.15693265269392,0.338500924219693,0.269731958111883,0.110447023013567,0.119395935406734,0.107224158619709,0.109105963638508,0.099196502047773,0.12929331315677,0.198489473430353,0.158213263525826,1.26647696245233,3.38534269936931
"10-PAG",0.974675282940778,0.868297681713659,0.026941884438025,0.0212829902998526,0.988868747531147,0.952545845635277,11.6763612642913,14.0669775341912,17.7624887568333,18.1545528094374,14.1085562181285,16.7491875887509,15.6460316571718,15.980013453808,15.6711557818786,14.7842350720782,19.3713388294532,15.4353316500645,16.4261509496479,15.5718842512316,15.7200054615036,15.5525365527936,10.7210523955703,10.1847448275053,10.6223029016135,14.7495090532996,16.142286530741,11.8761891340089,14.9570785179726,26.2041217221783,63.7357261567707,0.103096442025296,0.174779318889853,0.526349463832541,0.166125810529464,0.116415321615006,0.24751679426693,0.141279277751082,0.143089791195676,0.152804146821598,0.102243118976056,0.191343192233604,0.117773311938429,0.147911167288906,0.320849032807675,0.289320721852545,0.101157965307994,0.123999864206841,0.106575074374449,0.120748928093342,0.0956135156359345,0.126771707453844,0.210290914083884,0.160744287846479,1.26010756523538,3.29153543569996
"12-OLO",0.974957239832676,0.885653129271682,0.021779289418256,0.0166543041833857,0.989013602290119,0.951913998307473,13.2693512698658,14.4121312378648,16.3214699869192,19.1079773075745,15.8716552918576,16.0753259169427,17.3695275874731,15.6174729381539,17.1528743064529,15.2236184156827,19.9517381390169,14.3721525910509,17.9936412855178,14.2465117802642,15.6943575243102,17.2402652188189,11.6514188602238,11.1109768503475,9.53146642645008,16.2569580983662,16.7024260466714,11.8850360298055,16.4659553426825,25.3083800408438,64.3908471945223,0.11257867693474,0.150121173818244,0.530792252170464,0.174976874826101,0.1272643434721,0.263695968166765,0.14711364624924,0.129288683319764,0.170982260685644,0.116080311223948,0.186356508113143,0.108141811559558,0.145726911398611,0.314599588876726,0.267581891803502,0.108634955221791,0.135553753967433,0.108513775958882,0.11201403510073,0.0987235886636059,0.119498267550841,0.191946384036484,0.14957188013799,1.41635824535313,3.24486104380019
"14-OKS",0.975339398220395,0.411800293257725,0.0452423653620604,0.0413222817831962,0.989133858551281,0.940450198863747,12.2578865415787,15.5419095426676,17.9457276610618,20.390631557958,14.9071976559622,16.109083418215,17.1525690865775,16.8841932848022,16.1488394133103,16.4517375022056,17.3084743613974,16.3693071378391,16.9362248900865,14.5704988565424,14.4876153846327,17.8207779276218,9.37075817398364,10.2872237457226,9.41639199668019,14.0017454791772,15.0109584938797,11.8463772549387,12.3453118858865,27.5224262177496,63.4777525298867,0.103870006536099,0.137889337393856,0.518993230836402,0.174824438635485,0.128306043524573,0.265405277951515,0.138236015165041,0.154050185382396,0.157130115116308,0.111565434525823,0.186881730919268,0.113051384790932,0.163578945758652,0.288069345751988,0.288026992201454,0.124318719342957,0.13597170887924,0.104823645532402,0.120057254702926,0.101362538319829,0.117105927013171,0.19048340968813,0.15151977268352,1.39265913318752,3.20243260468475
"15-NGO",0.974961059455793,0.657071279564447,0.0287647289401573,0.0237684922521759,0.988994332447312,0.817309999253883,14.6125963634998,16.6374541566896,17.2368069753974,17.308092650705,12.5676232084854,16.9879607819356,18.168431668398,14.8971057636166,17.8313150864685,13.0423456279545,19.7871888174008,15.6446540917104,18.3809814935199,16.8604047211849,15.5034158282279,12.1412576180571,11.8052596137142,11.7275789308389,9.63420984393887,16.7664445300706,15.0339039765624,11.8029895603266,14.9466749948789,25.4389342430259,61.6503254585859,0.112346304774148,0.160839784458906,0.474585840229315,0.158777057332375,0.116342759551999,0.274500985350529,0.14588011097481,0.141402603582569,0.159695185859489,0.103681168050577,0.180565534849196,0.10867434270106,0.17350944412046,0.308968934424152,0.317149105767491,0.110251380258113,0.122142056677843,0.090250762211965,0.104630897666895,0.103745012558539,0.119612464831951,0.175016383059593,0.158312083966441,1.37150449111,3.36482586407907
