"site","rsq_test","rmse","mae","cor_test"
"01-AIN",0.42981135741462,0.0492582223980305,0.0431185716377777,0.897768180420513
"02-GAN",0.487413270545682,0.0441064058288645,0.0362228634137758,0.890547269752313
"03-DUK",0.342407738523336,0.0441450665095107,0.0389527059390803,0.828375012997823
"07-OSG",0.650311712426462,0.0372629460066383,0.0290996588858533,0.824402530778744
"08-MY",0.517038122654606,0.0423909175950291,0.0358767326014183,0.824930232013446
"09-ORB",0.641273008101425,0.0337858610198682,0.0256157056380913,0.859510974868647
"10-PAG",0.843817850423482,0.0296311716811868,0.0248010132337721,0.933081532464978
"12-OLO",0.802465977159374,0.0287680638035219,0.0232393712997719,0.901800334017805
"14-OKS",0.571955004485712,0.0386729237075159,0.0340704930666821,0.924040237475228
"15-NGO",0.633774540434655,0.0301718541277768,0.0238365989891754,0.827210096322559
"17-LAG",0.246073149110226,0.0522643253225914,0.0465433372959524,0.902189229436583
"18-BOL",0.621780259817513,0.0383153005238209,0.0321087516254136,0.881179285026761
"19-KTC",0.80608591471957,0.031252143723393,0.0266749641282892,0.921155471083198
"20-TUM",0.702680896668428,0.0353203513933848,0.0301528906095596,0.89622352849778
"21-KT",-0.452636315122553,0.0724637173752201,0.0663654939946053,0.842120493236676
"22-OMI",0.75068369490936,0.0333964512204636,0.0289393911913453,0.890203416639232
"24-KIL",0.623782311118263,0.0407887091970426,0.0364971118753166,0.835040140414853
"25-CHU",0.524760201215584,0.0461898967434908,0.0397621313298972,0.849542789256049
"26-OG",0.3821802994235,0.0505639974201211,0.0432905258764524,0.787600367191808
"27-OCA",0.539922108617254,0.0449523922822537,0.0392161332980751,0.755513368795756
"28-AKA",0.664727375798682,0.0407653433266947,0.0357233806208799,0.844465155945916
"30-OLE",0.581746874950353,0.0400298749633489,0.0349369621496391,0.829838321109716
"31-ACA",-0.475826289264873,0.0607943251688816,0.051801825079029,0.720009117116171
"32-APU",0.553556025439952,0.0461380511364795,0.0403591725398713,0.844325616973135
"33-AP",0.522255429509717,0.0432107678620408,0.0305565764856187,0.813636473613359
"36-UGT",0.735903919444232,0.0397238398029475,0.0312750404645602,0.862597528863551
"37-OT",0.73546390967775,0.0348841336357675,0.0267630828276132,0.881347649898255
"38-OCU",0.643445083618497,0.0460383527307951,0.0372375856942459,0.808644344802309
"40-KAG",0.706804885933696,0.0391248973331973,0.0334887566172263,0.843171697480176
"43-OS",0.540807448317774,0.0443356886295872,0.0367130228353126,0.784833680108925
"44-MK",0.541100926392772,0.0624750907756166,0.0545974766159591,0.88296508858925
"45-BKD",0.804513859439128,0.0329061205497618,0.0270389954674136,0.913769111717018
"46-PT",0.711965333270357,0.0435280083117666,0.0364295277875119,0.850821249408723
"47-BK",0.644450161587781,0.0462362921739652,0.0360157336655509,0.847299796779581
"51-MF",0.157674353993217,0.0713459286630042,0.0586816429115741,0.772620843621482
"52-KR",0.585079584007409,0.0499098460837241,0.0385143627949267,0.846297664494872
"54-MS",0.0495329421725373,0.0678659267157369,0.0579872326813332,0.857090975806822
"55-KAF",0.242095373289605,0.0595155600037319,0.0503349594215141,0.833076125014033
"56-MA",0.754386504688299,0.0510083694161877,0.0362509704206596,0.893576978134996
"57-KG",0.718511656222671,0.0555207733795973,0.0389865968434478,0.895165101285044
"58-SS",0.498345648762326,0.0710773306853473,0.0588398030444491,0.899412042317506
"59-EB",0.827860656431516,0.0322146344586572,0.025874474901144,0.919561394270982
"60-NA",0.683708561226612,0.0511274043496932,0.0415339976087801,0.87218532753726
"61-KO",0.805328438900948,0.04707225640646,0.0391830240510606,0.921072545981317
"62-NS",0.79705457770691,0.0429349502792421,0.035400658636399,0.936662106478357
"63-DB",0.801439541679007,0.0464636370067563,0.0355497661050475,0.922722329368533
"64-KL",0.774272020778525,0.0428861799062306,0.0355517071041108,0.923723530756935
"65-BZ",0.681835117011599,0.0504438890623703,0.0443975336347699,0.825966116099484
"66-BY",0.645566519918757,0.0569788847989042,0.0493652627782925,0.823054617997472
"68-LI",0.683358539779155,0.053479662828475,0.0462710349947898,0.849574617605837
"69-BV",0.742579946347277,0.0436544747650295,0.0383519308946016,0.880195099221862
"70-MGG",0.707849737138087,0.0526731784494101,0.044893370700421,0.8648127838222
"71-BD",0.70690447670983,0.0458934790163802,0.0412373012973758,0.856547947149444
"72-JN",0.336372403246951,0.0459175066303788,0.0384749649112503,0.702960636672139
"73-IGG",0.635336894541107,0.0529588604926522,0.0425134727469007,0.862420715266691
"74-NAM",0.703151476980264,0.0425296363948926,0.0370510259421799,0.857825112149568
"76-TB",-0.209627778240351,0.0605555434178128,0.0522064942185846,0.668324653778873
"78-OK",0.512069815899243,0.0555254960185846,0.0461904975530571,0.805694573035378
"79-BU",0.174065166595129,0.0693661456576242,0.0587648358293827,0.745503876263964
"81-BUD",0.395356927618467,0.0475295856353395,0.0396759423601854,0.883264717243632
"82-BON",-0.600514983974341,0.06394955106759,0.0585735520117123,0.868860209224541
"83-ND",0.571771175020127,0.0462326159111912,0.0348683532021364,0.791801640371618
"84-MAN",0.599474347613755,0.0409151666343059,0.0356898003285643,0.919956542230293
"85-KSS",0.685109301703629,0.0340077511893795,0.0272577759546164,0.909366648033998
"86-SUB",0.300517547232914,0.0536603392371588,0.0475528835836225,0.903454403008171
