A03b	B05	C7b	CAG29	GpCAG133	D05	D101	Gmm8	GpB20b	GpC10	Pgp28		
AIN_14_177	1	130	207	121	157	191	109	167	122	117	161	111
AIN_14_177	1	130	209	121	163	194	109	173	122	127	173	111
AIN_14_178	1	116	207	118	163	191	109	173	130	129	158	129
AIN_14_178	1	142	211	133	163	191	109	173	130	143	161	131
AIN_14_179	1	116	207	127	157	191	109	167	122	115	164	121
AIN_14_179	1	130	211	133	157	200	112	167	126	115	164	129
AIN_14_180	1	116	209	133	163	191	109	164	122	141	161	111
AIN_14_180	1	128	211	145	163	194	109	167	130	151	167	125
AIN_14_181	1	116	207	127	157	191	106	167	126	127	164	109
AIN_14_181	1	130	209	142	157	194	109	167	130	143	173	109
AIN_14_182	1	130	207	127	157	191	97	167	126	115	158	123
AIN_14_182	1	130	211	133	163	194	106	173	126	115	167	125
AIN_14_183	1	130	209	133	157	194	109	173	126	109	158	111
AIN_14_183	1	130	209	136	157	194	109	173	126	143	161	123
AIN_14_184	1	130	207	133	157	191	109	167	126	115	170	109
AIN_14_184	1	130	211	142	163	203	109	173	130	127	173	129
AIN_14_185	1	116	209	133	157	194	97	158	122	109	158	123
AIN_14_185	1	130	211	142	163	203	106	167	126	149	167	123
AIN_14_194	1	130	209	121	157	191	106	173	122	115	161	109
AIN_14_194	1	134	211	133	160	194	109	173	130	127	164	129
AIN_14_195	1	120	207	121	157	200	109	164	122	115	161	115
AIN_14_195	1	130	209	142	157	203	109	173	130	127	167	115
AIN_14_196	1	116	209	121	157	194	106	167	122	115	161	109
AIN_14_196	1	124	209	121	163	200	106	173	130	117	167	111
AIN_14_198	1	130	207	121	157	191	103	167	118	115	161	-9
AIN_14_198	1	130	209	133	157	203	106	173	126	143	167	-9
AIN_14_200	1	120	207	121	157	191	109	173	126	143	167	111
AIN_14_200	1	120	209	133	157	200	109	173	130	147	173	121
AIN_14_285	1	120	209	121	157	191	106	167	122	115	161	123
AIN_14_285	1	130	209	133	160	200	112	167	122	143	164	125
AIN_14_289	1	130	207	121	157	200	97	158	130	137	173	111
AIN_14_289	1	130	209	142	163	200	106	173	130	151	173	111
AIN_14_321	1	132	209	118	157	200	106	167	122	109	164	111
AIN_14_321	1	132	211	133	160	200	112	173	122	115	167	121
AIN_14_347	1	130	209	121	157	200	97	167	122	127	158	109
AIN_14_347	1	134	211	142	157	200	109	173	122	141	167	125
AIN_14_364	1	130	205	130	157	194	109	164	122	141	161	109
AIN_14_364	1	130	207	136	160	194	109	173	130	141	167	109
GAN_14_085	2	130	207	118	157	194	109	167	122	115	158	111
GAN_14_085	2	134	211	124	157	200	109	167	130	115	158	121
GAN_14_101	2	130	207	133	157	191	109	167	126	115	158	109
GAN_14_101	2	136	209	133	157	194	109	167	130	127	167	121
GAN_14_112	2	130	211	121	157	194	106	158	122	115	164	125
GAN_14_112	2	130	211	133	157	203	106	167	122	115	167	125
GAN_14_136	2	134	207	127	157	191	97	164	122	127	161	111
GAN_14_136	2	134	209	133	163	191	106	173	130	127	167	127
GAN_14_138	2	116	207	133	157	191	109	158	126	141	161	123
GAN_14_138	2	116	211	133	157	194	109	173	126	145	161	123
GAN_14_140	2	130	209	127	160	200	109	173	126	115	158	123
GAN_14_140	2	130	209	133	163	203	109	173	126	115	161	125
GAN_14_143	2	130	207	121	157	200	109	158	130	127	167	109
GAN_14_143	2	130	211	133	157	203	109	173	130	127	167	133
GAN_14_146	2	130	207	130	157	191	109	164	126	127	161	109
GAN_14_146	2	130	209	133	163	200	109	173	126	127	161	129
GAN_14_148	2	130	209	127	157	191	106	158	122	129	161	109
GAN_14_148	2	130	211	142	163	191	106	167	126	149	164	111
GAN_14_149	2	116	207	121	157	191	106	167	122	109	161	125
GAN_14_149	2	130	209	139	157	194	106	167	122	127	164	125
GAN_14_250	2	130	207	142	157	191	106	167	122	115	167	111
GAN_14_250	2	130	207	142	160	203	106	173	122	115	167	125
